yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A089ZDP0	A0A089ZDP0	thi4 BRM9_1347 DSM1535_2031 MB9_0964	Thiamine thiazole synthase (EC 2.4.2.59)	2.4.2.59	FUNCTION: Involved in the biosynthesis of the thiazole moiety of thiamine. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylate (ADT), an adenylated thiazole intermediate, using free sulfide as a source of sulfur. {ECO:0000256|HAMAP-Rule:MF_00304}.	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00304}.	Complete proteome;Iron;Isomerase;Metal-binding;NAD;Thiamine biosynthesis;Transferase	Inferred from homology	iron ion binding [GO:0005506]; isomerase activity [GO:0016853]; transferase activity, transferring pentosyl groups [GO:0016763]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]	THI4 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR036188;IPR002922;IPR022828;	mfc:BRM9_1347;mfi:DSM1535_2031;	K22699;			WP_048073403.1;	UPA00060	Methanobacterium formicicum	2162
A0A089ZGF5	A0A089ZGF5	BRM9_1340 DSM1535_2025 MB9_0971	CBS domain-containing protein				CBS domain;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000644;IPR016486;	mfc:BRM9_1340;mfi:DSM1535_2025;		PF00571;		WP_048073397.1;		Methanobacterium formicicum	2162
A0A090I622	A0A090I622	eif2a BRM9_2259 DSM1535_1193 MB9_2297	Translation initiation factor 2 subunit alpha (aIF2-alpha) (eIF-2-alpha)		FUNCTION: eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA. {ECO:0000256|HAMAP-Rule:MF_00231}.		Complete proteome;Initiation factor;Protein biosynthesis;RNA-binding	Inferred from homology	translation initiation factor activity [GO:0003743]	EIF-2-alpha family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012340;IPR022967;IPR003029;IPR022964;IPR024055;IPR024054;IPR011488;	mfc:BRM9_2259;mfi:DSM1535_1193;	K03237;	PF07541;PF00575;		WP_048072729.1;		Methanobacterium formicicum	2162
A0A089ZV33	A0A089ZV33	sufBD BRM9_0917 DSM1535_0885 MB9_1971	FeS assembly protein SufBD (UPF0051 protein)				Complete proteome	Predicted	iron-sulfur cluster assembly [GO:0016226]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000825;IPR037284;	mfc:BRM9_0917;mfi:DSM1535_0885;		PF01458;		WP_048072475.1;		Methanobacterium formicicum	2162
A0A090I7U4	A0A090I7U4	DSM1535_0884	ABC transporter				ATP-binding;Complete proteome;Nucleotide-binding	Predicted	ATP binding [GO:0005524]; ATPase activity [GO:0016887]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03217;			IPR003593;IPR003439;IPR010230;IPR027417;	mfi:DSM1535_0884;	K09013;	PF00005;				Methanobacterium formicicum	2162
A0A0S4FN62	A0A0S4FN62	MB9_0797	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	5.1.3.14			Complete proteome;Isomerase	Predicted	UDP-N-acetylglucosamine 2-epimerase activity [GO:0008761]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03786;			IPR003331;IPR029767;			PF02350;		WP_060537499.1;		Methanobacterium formicicum	2162
A0A089ZDA2	A0A089ZDA2	BRM9_1992 DSM1535_0184 MB9_0364	Cell division control protein Cdc48 (Cell division cycle protein 48 homolog MJ1156)				Cell cycle;Cell division;Coiled coil;Complete proteome	Predicted	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; cell division [GO:0051301]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR005938;IPR041569;IPR009010;IPR003959;IPR003960;IPR004201;IPR029067;IPR003338;IPR027417;	mfc:BRM9_1992;mfi:DSM1535_0184;	K13525;	PF00004;PF17862;PF02933;PF02359;		WP_048071879.1;		Methanobacterium formicicum	2162
A0A090I938	A0A090I938	thiC1 thiC BRM9_0157 DSM1535_1479 MB9_0122	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	4.1.99.17	FUNCTION: Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction. {ECO:0000256|HAMAP-Rule:MF_00089}.	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00089}.	4Fe-4S;Complete proteome;Iron;Iron-sulfur;Lyase;Metal-binding;S-adenosyl-L-methionine;Thiamine biosynthesis;Zinc	Inferred from homology	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	ThiC family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR037509;IPR038521;IPR002817;	mfc:BRM9_0157;mfi:DSM1535_1479;	K03147;	PF01964;			UPA00060	Methanobacterium formicicum	2162
A0A090I560	A0A090I560	hypB DSM1535_2400	Putative hydrogenase nickel incorporation protein HypB				Complete proteome	Predicted	GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; protein maturation [GO:0051604]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003495;IPR004392;IPR012202;IPR027417;	mfi:DSM1535_2400;	K04652;	PF02492;		WP_048073702.1;		Methanobacterium formicicum	2162
A0A090I340	A0A090I340	BRM9_2282 DSM1535_1216 MB9_2320	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002878;IPR022002;IPR012340;	mfc:BRM9_2282;mfi:DSM1535_1216;	K07068;	PF12172;PF01796;		WP_048072750.1;		Methanobacterium formicicum	2162
A0A090I8V0	A0A090I8V0	thrS DSM1535_1353	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	6.1.1.3			ATP-binding;Aminoacyl-tRNA synthetase;Complete proteome;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;RNA-binding;Zinc;tRNA-binding	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; threonyl-tRNA aminoacylation [GO:0006435]	Class-II aminoacyl-tRNA synthetase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002314;IPR006195;IPR004154;IPR036621;IPR023509;IPR002320;IPR015011;	mfi:DSM1535_1353;	K01868;	PF03129;PF00587;PF08915;		WP_048072870.1;		Methanobacterium formicicum	2162
A0A090JWL2	A0A090JWL2	purO DSM1535_1584 MB9_0234	IMP cyclohydrolase (EC 3.5.4.10) (IMP synthase) (Inosinicase)	3.5.4.10	FUNCTION: Catalyzes the cyclization of 5-formylamidoimidazole-4-carboxamide ribonucleotide to IMP. {ECO:0000256|HAMAP-Rule:MF_00705}.	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00705}.	Complete proteome;Hydrolase;Purine biosynthesis	Inferred from homology	IMP cyclohydrolase activity [GO:0003937]; 'de novo' IMP biosynthetic process [GO:0006189]	Archaeal IMP cyclohydrolase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR010191;IPR020600;IPR036795;	mfi:DSM1535_1584;	K11176;	PF07826;		WP_048073049.1;	UPA00074;UER00135	Methanobacterium formicicum	2162
A0A089ZAY7	A0A089ZAY7	rps4p rps4 BRM9_0375 DSM1535_0302 MB9_1411	30S ribosomal protein S4		FUNCTION: One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit. {ECO:0000256|HAMAP-Rule:MF_01306, ECO:0000256|SAAS:SAAS00896430}.; FUNCTION: With S5 and S12 plays an important role in translational accuracy. {ECO:0000256|HAMAP-Rule:MF_01306, ECO:0000256|SAAS:SAAS00896433}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS4 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00165;			IPR022801;IPR005710;IPR001912;IPR022802;IPR018079;IPR002942;IPR036986;	mfc:BRM9_0375;mfi:DSM1535_0302;	K02986;	PF01479;		WP_048071977.1;		Methanobacterium formicicum	2162
A0A089Z8Q6	A0A089Z8Q6	rps11p rps11 BRM9_0374 DSM1535_0301 MB9_1410	30S ribosomal protein S11		FUNCTION: Located on the platform of the 30S subunit. {ECO:0000256|HAMAP-Rule:MF_01310}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS11 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001971;IPR019961;IPR018102;IPR036967;	mfc:BRM9_0374;mfi:DSM1535_0301;	K02948;	PF00411;		WP_048071976.1;		Methanobacterium formicicum	2162
A0A090I958	A0A090I958	wtpA BRM9_0188 DSM1535_1504 MB9_0152	Extracellular solute-binding protein (Tungstate ABC transporter substrate-binding protein WtpA)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; tungstate binding [GO:1901359]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022498;	mfc:BRM9_0188;mfi:DSM1535_1504;	K15495;			WP_048072994.1;		Methanobacterium formicicum	2162
A0A090I3Q7	A0A090I3Q7	DSM1535_1421 MB9_0062	Nucleotidyl transferase				Coiled coil;Complete proteome;Transferase	Predicted	nucleotidyltransferase activity [GO:0016779]; biosynthetic process [GO:0009058]; polysaccharide metabolic process [GO:0005976]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001538;IPR005835;IPR029044;IPR014710;IPR011051;	mfi:DSM1535_1421;		PF01050;PF00483;		WP_048072929.1;		Methanobacterium formicicum	2162
A0A090I0Z8	A0A090I0Z8	top6B BRM9_1940 DSM1535_0128 MB9_0416	Type 2 DNA topoisomerase 6 subunit B (EC 5.6.2.3) (Type II DNA topoisomerase VI subunit B) (TopoVI-B)	5.6.2.3	FUNCTION: Relaxes both positive and negative superturns and exhibits a strong decatenase activity. {ECO:0000256|HAMAP-Rule:MF_00322}.		ATP-binding;Complete proteome;DNA-binding;Isomerase;Nucleotide-binding;Topoisomerase	Inferred from homology	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918]; DNA topological change [GO:0006265]; DNA unwinding involved in DNA replication [GO:0006268]	TOP6B family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00075;cd00823;			IPR003594;IPR036890;IPR010979;IPR020568;IPR014721;IPR005734;IPR015320;	mfc:BRM9_1940;mfi:DSM1535_0128;	K03167;	PF02518;PF09239;		WP_048071832.1;		Methanobacterium formicicum	2162
A0A089ZF65	A0A089ZF65	BRM9_0730 DSM1535_0683 MB9_1767	PRC-barrel domain-containing protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR027275;IPR011033;	mfc:BRM9_0730;mfi:DSM1535_0683;		PF05239;		WP_048072307.1;		Methanobacterium formicicum	2162
A0A090JVL3	A0A090JVL3	frhG BRM9_2250 DSM1535_1182 MB9_2286	Coenzyme F420 hydrogenase gamma subunit FrhG (Coenzyme F420 hydrogenase subunit gamma) (EC 1.12.98.1)	1.12.98.1			Complete proteome;Oxidoreductase	Predicted	coenzyme F420 hydrogenase activity [GO:0050454]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;IPR017681;IPR006137;IPR037024;	mfc:BRM9_2250;mfi:DSM1535_1182;	K00443;	PF00037;PF01058;		WP_048072723.1;		Methanobacterium formicicum	2162
A0A090I904	A0A090I904	DSM1535_1429	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR018702;	mfi:DSM1535_1429;		PF09972;		WP_048072937.1;		Methanobacterium formicicum	2162
A0A089ZGS2	A0A089ZGS2	rfcS BRM9_0565 DSM1535_0546 MB9_1603	Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit)		FUNCTION: Part of the RFC clamp loader complex which loads the PCNA sliding clamp onto DNA. {ECO:0000256|HAMAP-Rule:MF_01509}.		ATP-binding;Complete proteome;DNA replication;Nucleotide-binding	Inferred from homology	DNA replication factor C complex [GO:0005663]; ATP binding [GO:0005524]; DNA clamp loader activity [GO:0003689]; DNA replication [GO:0006260]	Activator 1 small subunits family, RfcS subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR003959;IPR008921;IPR027417;IPR023748;IPR013748;	mfc:BRM9_0565;mfi:DSM1535_0546;	K04801;	PF00004;PF08542;		WP_048072185.1;		Methanobacterium formicicum	2162
A0A089ZBS5	A0A089ZBS5	rps6e BRM9_0604 DSM1535_0586 MB9_1644	30S ribosomal protein S6e				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Eukaryotic ribosomal protein eS6 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001377;IPR020924;IPR018282;	mfc:BRM9_0604;mfi:DSM1535_0586;	K02991;	PF01092;		WP_048072219.1;		Methanobacterium formicicum	2162
A0A090IB58	A0A090IB58	carA DSM1535_2436	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	6.3.5.5		PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01209}.	ATP-binding;Amino-acid biosynthesis;Arginine biosynthesis;Complete proteome;Glutamine amidotransferase;Ligase;Nucleotide-binding;Pyrimidine biosynthesis	Inferred from homology	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]	CarA family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01744;			IPR006274;IPR002474;IPR036480;IPR029062;IPR035686;IPR017926;	mfi:DSM1535_2436;	K01956;	PF00988;PF00117;		WP_048073730.1;	UPA00068;UER00171, UPA00070;UER00115	Methanobacterium formicicum	2162
A0A090I2K0	A0A090I2K0	purM BRM9_0343 DSM1535_0955 MB9_2040	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	6.3.3.1		PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 2/2. {ECO:0000256|HAMAP-Rule:MF_00741}.	ATP-binding;Complete proteome;Cytoplasm;Ligase;Nucleotide-binding;Purine biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]	AIR synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02196;			IPR010918;IPR036676;IPR016188;IPR036921;IPR004733;	mfc:BRM9_0343;mfi:DSM1535_0955;	K01933;	PF00586;PF02769;			UPA00074;UER00129	Methanobacterium formicicum	2162
A0A090JSP3	A0A090JSP3	pyrH DSM1535_0075	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	2.7.4.22	FUNCTION: Catalyzes the reversible phosphorylation of UMP to UDP. {ECO:0000256|HAMAP-Rule:MF_01220, ECO:0000256|SAAS:SAAS00055194}.	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; UDP from UMP (UMPK route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_01220, ECO:0000256|SAAS:SAAS00055190}.	ATP-binding;Complete proteome;Cytoplasm;Kinase;Nucleotide-binding;Pyrimidine biosynthesis;Transferase	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UMP kinase activity [GO:0033862]; 'de novo' CTP biosynthetic process [GO:0044210]	UMP kinase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd04253;			IPR036393;IPR001048;IPR011817;IPR011818;	mfi:DSM1535_0075;	K09903;	PF00696;		WP_048071789.1;	UPA00159;UER00275	Methanobacterium formicicum	2162
A0A089ZC51	A0A089ZC51	pstS1 pstS2 BRM9_0784 DSM1535_0744 MB9_1834	Extracellular phosphate-binding protein (Phosphate ABC transporter phosphate-binding protein PstS1)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; phosphate ion binding [GO:0042301]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR024370;IPR011862;	mfc:BRM9_0784;mfi:DSM1535_0744;	K02040;	PF12849;		WP_048072354.1;		Methanobacterium formicicum	2162
A0A090JTC3	A0A090JTC3	rpl13p rps9 rps9p BRM9_0370 DSM1535_0297 MB9_1406	30S ribosomal protein S9				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS9 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR020568;IPR014721;IPR000754;IPR019958;	mfc:BRM9_0370;mfi:DSM1535_0297;	K02996;	PF00380;		WP_048071972.1;		Methanobacterium formicicum	2162
A0A089ZGW2	A0A089ZGW2	eif2g BRM9_0605 DSM1535_0587 MB9_1645	Translation initiation factor 2 subunit gamma (aIF2-gamma) (eIF-2-gamma)		FUNCTION: eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA. {ECO:0000256|HAMAP-Rule:MF_00119}.		Complete proteome;GTP-binding;Initiation factor;Nucleotide-binding;Protein biosynthesis	Inferred from homology	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EIF2G subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd15490;			IPR027417;IPR005225;IPR000795;IPR022424;IPR015256;IPR009000;IPR009001;	mfc:BRM9_0605;mfi:DSM1535_0587;	K03242;	PF09173;PF00009;		WP_048072220.1;		Methanobacterium formicicum	2162
